type,team,enemy,game,order,time,date,won,stage
CHEMTECH,T1,JDG,4,1,00:10:57,2023-11-12,True,SEMI
CLOUD,T1,JDG,4,2,00:16:59,2023-11-12,True,SEMI
OCEAN,T1,JDG,4,3,00:22:24,2023-11-12,True,SEMI
OCEAN,T1,JDG,4,4,00:28:04,2023-11-12,True,SEMI
CHEMTECH,T1,WBG,1,1,00:06:04,2023-11-19,True,FINALS
HEXTECH,T1,WBG,1,2,00:11:59,2023-11-19,True,FINALS
CLOUD,WBG,T1,1,3,00:18:39,2023-11-19,False,FINALS
CLOUD,T1,WBG,1,4,00:23:54,2023-11-19,True,FINALS
CLOUD,T1,WBG,1,5,00:29:15,2023-11-19,True,FINALS
CHEMTECH,WBG,T1,2,1,00:07:01,2023-11-19,False,FINALS
OCEAN,WBG,T1,2,2,00:12:31,2023-11-19,False,FINALS
CLOUD,T1,WBG,2,3,00:18:47,2023-11-19,True,FINALS
CLOUD,T1,WBG,2,4,00:24:46,2023-11-19,True,FINALS
